DO,pH,Conductivity,Turbidity,Ammonia-N,Hardness,Sulphate,TDS,Date,WQI
3.9,7.48,1281.0,45.0,0.4,259.25,45.0,732.0,2019-01-01,191.5319523809524
6.4,7.19,611.0,6.0,0.4,137.56,45.0,365.0,2019-01-01,91.75390476190476
5.4,7.89,517.0,8.42,0.4,170.0,34.0,327.0,2019-01-01,89.46657142857143
5.6,7.81,110.0,3.42,0.4,45.0,2.0,64.0,2019-01-01,49.95019047619048
5.9,8.26,427.0,3.82,0.4,140.0,13.0,240.0,2019-01-01,74.87866666666665
4.8,8.22,831.0,4.96,0.4,225.0,67.0,496.0,2019-01-01,104.81114285714285
4.8,7.86,348.0,8.0,0.4,115.0,8.0,220.0,2019-01-01,73.14476190476192
5.0,7.64,683.0,10.0,0.4,220.0,44.0,402.0,2019-01-01,101.76838095238097
2.4,7.38,1312.0,35.0,0.4,269.86,29.0,791.0,2019-01-01,174.54380952380953
5.2,8.51,948.0,5.12,0.4,220.0,98.0,588.0,2019-01-01,116.35552380952383
5.0,8.48,952.0,5.19,0.4,260.0,86.0,587.0,2019-01-01,116.67238095238095
5.1,8.56,950.0,6.24,0.4,245.0,76.0,584.0,2019-01-01,117.55076190476193
7.4,7.38,358.0,5.0,0.4,137.43,32.0,212.0,2019-01-01,76.85414285714288
6.8,7.32,775.0,24.0,0.4,213.69,67.0,520.0,2019-01-01,138.43585714285715
6.8,7.84,454.0,3.8,0.4,122.57,22.0,268.0,2019-01-01,78.84966666666668
6.2,7.25,379.0,60.0,0.4,120.0,11.0,230.0,2019-01-01,161.18285714285716
4.6,7.51,1302.0,10.0,0.4,280.0,72.0,820.0,2019-01-01,144.52809523809523
4.6,7.16,1377.0,26.0,0.4,365.0,104.0,856.0,2019-01-01,178.2394285714286
1.0,7.4,1419.0,22.0,0.4,350.0,78.0,840.0,2019-01-01,160.84857142857146
5.9,7.44,1545.0,12.0,0.4,405.66,55.0,930.0,2019-01-01,168.02009523809525
6.2,7.75,1681.0,25.0,0.4,382.31,48.0,975.0,2019-01-01,195.7222380952381
2.2,7.6,1464.0,18.0,0.4,405.0,105.0,840.0,2019-01-01,162.8461904761905
4.6,7.34,1342.0,18.86,0.4,390.0,68.0,760.0,2019-01-01,160.3569523809524
2.0,7.57,1567.0,12.0,0.4,525.0,100.0,1020.0,2019-01-01,168.45571428571432
1.0,7.2,1336.0,18.0,0.4,365.0,90.0,802.0,2019-01-01,150.64361904761904
4.6,7.71,1754.0,14.18,0.4,500.0,140.0,990.0,2019-01-01,185.49038095238095
1.0,7.82,1420.0,18.26,0.4,410.0,106.0,852.0,2019-01-01,159.53390476190478
